time,file,result,length
2024-05-07 20:27:09.929665+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030231.png,SUCCESS,0.26564447
2024-05-07 20:27:09.936642+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030225.png,SUCCESS,0.319843542
2024-05-07 20:27:09.945956+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030345.png,SUCCESS,0.332021116
2024-05-07 20:27:09.957290+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030351.png,SUCCESS,0.275013692
2024-05-07 20:27:09.965199+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030224.png,SUCCESS,0.278134274
2024-05-07 20:27:09.971004+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030230.png,SUCCESS,0.281335741
2024-05-07 20:27:09.978686+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030215.png,SUCCESS,0.183030661
2024-05-07 20:27:09.986140+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030229.png,SUCCESS,0.331527209
2024-05-07 20:27:09.993949+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030361.png,SUCCESS,0.272042497
2024-05-07 20:27:10.000515+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030349.png,SUCCESS,0.442761035
2024-05-07 20:27:10.006919+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030360.png,SUCCESS,0.266574986
2024-05-07 20:27:10.012264+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030228.png,SUCCESS,0.335830365
2024-05-07 20:27:10.017535+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030214.png,SUCCESS,0.177675153
2024-05-07 20:27:10.022190+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030216.png,SUCCESS,0.185614332
2024-05-07 20:27:10.026802+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030362.png,SUCCESS,0.271456939
2024-05-07 20:27:10.030979+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030363.png,SUCCESS,0.270637045
2024-05-07 20:27:10.035156+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030207.png,SUCCESS,0.260731773
2024-05-07 20:27:10.039843+00:00,/home/chris/data/fishsense/__labeling_0504/080323_1419_ConchReef/P8030213.png,SUCCESS,0.171314292
